"dataset","algorithm","AMI","ARI","FMeasure","homogeneity","majority","VI","silhouette"
"Breast : all cells","AltAnalyze",0.16,0,0.35,0.3,1,3.73,-0.35
"Breast : all cells","Ascend",0.51,0.75,0.81,0.51,0.73,1.17,0.19
"Breast : all cells","bigSCale",0.35,0.16,0.47,0.64,0.96,2.56,0.34
"Breast : all cells","Cell Ranger",0.37,0.24,0.57,0.48,0.94,2.21,0.25
"Breast : all cells","CIDR",0.38,0.3,0.61,0.49,0.92,2.19,0.27
"Breast : all cells","Monocle",0.36,0.18,0.49,0.74,0.95,2.65,0.27
"Breast : all cells","pcaReduce",0.3,0.1,0.38,0.84,1,3.5,0.19
"Breast : all cells","PhenoGraph",0.15,0.09,0.43,0.2,0.77,3.27,0.1
"Breast : all cells","RaceID",0.25,0.09,0.39,0.52,1,3.43,-0.29
"Breast : all cells","RCA",0.33,0.2,0.52,0.75,0.91,2.97,0.01
"Breast : all cells","SC3",0.37,0.2,0.53,0.82,0.96,2.61,0.28
"Breast : all cells","Scran",0.28,0.17,0.49,0.44,0.84,2.81,0.13
"Breast : all cells","Seurat",0.35,0.15,0.47,0.65,0.96,2.64,0.37
"Breast : all cells","SINCERA",0.37,0.17,0.48,0.48,0.94,2.24,0.15
"Breast : all cells","TSCAN",0.37,0.26,0.57,0.6,0.9,2.39,0.17
"Glioblastoma : all cells","AltAnalyze",0.44,0.27,0.58,0.44,0.96,1.94,0.04
"Glioblastoma : all cells","Ascend",0.66,0.65,0.84,0.86,0.99,1.01,0.25
"Glioblastoma : all cells","bigSCale",0.58,0.49,0.73,0.84,1,1.36,0.2
"Glioblastoma : all cells","Cell Ranger",0.43,0.28,0.5,0.8,0.98,2.25,0.23
"Glioblastoma : all cells","CIDR",0.58,0.51,0.7,0.74,0.99,1.4,0.17
"Glioblastoma : all cells","Monocle",0.33,0.12,0.33,0.9,1,3.36,0.14
"Glioblastoma : all cells","pcaReduce",0.32,0.11,0.32,0.88,1,3.44,0.15
"Glioblastoma : all cells","PhenoGraph",0.45,0.35,0.61,0.78,0.97,2.06,0.12
"Glioblastoma : all cells","RaceID",0.36,0.21,0.5,0.73,1,2.77,-0.18
"Glioblastoma : all cells","RCA",0.23,0.09,0.35,0.74,1,4.73,-0.31
"Glioblastoma : all cells","SC3",0.34,0.13,0.4,0.92,1,3.3,0.03
"Glioblastoma : all cells","Scran",0.37,0.21,0.55,0.71,1,2.65,-0.02
"Glioblastoma : all cells","Seurat",0.48,0.32,0.58,0.96,1,1.88,0.24
"Glioblastoma : all cells","SINCERA",0.7,0.82,0.86,0.81,1,0.94,0.09
"Glioblastoma : all cells","TSCAN",0.37,0.26,0.52,0.81,0.94,2.71,0.02
"Melanoma : all cells","AltAnalyze",0.09,0,0.18,0.15,1,6.3,-0.72
"Melanoma : all cells","Ascend",0.24,0.18,0.45,0.24,0.49,2.71,0.16
"Melanoma : all cells","bigSCale",0.54,0.33,0.52,0.55,0.89,2.43,0.06
"Melanoma : all cells","Cell Ranger",0.44,0.33,0.56,0.59,0.73,3.06,0.02
"Melanoma : all cells","CIDR",0.45,0.39,0.59,0.45,0.81,2.33,0.07
"Melanoma : all cells","Monocle",0.34,0.13,0.32,0.7,0.93,4.3,-0.08
"Melanoma : all cells","pcaReduce",0.31,0.14,0.33,0.56,0.85,4.37,0.17
"Melanoma : all cells","PhenoGraph",0.2,0.09,0.26,0.29,0.63,4.92,-0.14
"Melanoma : all cells","RaceID",0.37,0.2,0.47,0.42,0.81,3.38,-0.19
"Melanoma : all cells","RCA",0.41,0.38,0.55,0.68,0.98,3.45,-0.18
"Melanoma : all cells","SC3",0.28,0.07,0.3,0.5,0.93,4.63,-0.28
"Melanoma : all cells","Scran",0.05,0,0.29,0.05,0.45,4.29,0.13
"Melanoma : all cells","Seurat",0.47,0.33,0.57,0.67,0.95,2.81,0.01
"Melanoma : all cells","SINCERA",0.39,0.38,0.58,0.39,0.61,2.08,-0.09
"Melanoma : all cells","TSCAN",0.21,0.1,0.3,0.31,0.77,4.81,0
"Lung : all cells","bigSCale",0.38,0.26,0.44,0.38,0.41,3.34,0.03
"Lung : all cells","Cell Ranger",0.55,0.29,0.47,0.65,0.7,3.35,0.12
"Lung : all cells","Monocle",0.5,0.14,0.37,0.83,0.92,3.74,-0.12
"Lung : all cells","Scran",0.12,0.05,0.25,0.12,0.54,3.65,-0.1
"Lung : all cells","Seurat",0.62,0.39,0.58,0.68,0.7,2.76,-0.02
"Colorectal : all cells","AltAnalyze",0.13,0.02,0.62,0.2,1,2.66,-0.49
"Colorectal : all cells","Ascend",0.29,0.23,0.66,0.44,0.87,2.08,-0.1
"Colorectal : all cells","bigSCale",0.3,0.12,0.51,0.71,1,2.44,0.16
"Colorectal : all cells","Cell Ranger",0.26,0.14,0.48,0.47,0.88,2.37,0.11
"Colorectal : all cells","CIDR",0.16,0.05,0.32,0.45,0.89,3.78,-0.09
"Colorectal : all cells","Monocle",0.26,0.09,0.42,0.6,0.97,2.67,0.12
"Colorectal : all cells","pcaReduce",0.21,0.05,0.34,0.73,1,3.79,-0.02
"Colorectal : all cells","PhenoGraph",0.04,0,0.33,0.08,0.76,3.51,-0.07
"Colorectal : all cells","RaceID",0.09,0.02,0.46,0.19,0.89,3.38,-0.23
"Colorectal : all cells","RCA",0.18,0.04,0.34,0.58,1,3.88,-0.16
"Colorectal : all cells","SC3",0.27,0.08,0.42,0.78,0.99,2.96,0.12
"Colorectal : all cells","Scran",0.05,0.09,0.59,0.07,0.72,2.66,-0.04
"Colorectal : all cells","Seurat",0.27,0.13,0.52,0.55,0.92,2.42,0.2
"Colorectal : all cells","SINCERA",0.21,0.06,0.43,0.52,1,3.07,-0.09
"Colorectal : all cells","TSCAN",0.19,0.13,0.5,0.35,0.82,2.65,-0.03
"Pancreatic : all cells","bigSCale",0.69,0.58,0.81,0.69,0.97,1.57,0.22
"Pancreatic : all cells","Cell Ranger",0.58,0.44,0.6,0.88,0.96,2.29,0.16
"Pancreatic : all cells","Monocle",0.45,0.15,0.29,0.95,0.99,3.63,-0.07
"Pancreatic : all cells","Seurat",0.67,0.56,0.72,0.96,0.99,1.55,0.05
"Metastatic melanoma : all cells","AltAnalyze",0.08,0.04,0.24,0.18,1,5.11,-0.54
"Metastatic melanoma : all cells","Ascend",0.4,0.31,0.56,0.43,0.79,2.16,0.11
"Metastatic melanoma : all cells","bigSCale",0.5,0.38,0.62,0.79,0.97,1.79,0.13
"Metastatic melanoma : all cells","Cell Ranger",0.4,0.27,0.52,0.74,0.95,2.45,0.14
"Metastatic melanoma : all cells","CIDR",0.39,0.31,0.56,0.6,0.92,2.39,0.06
"Metastatic melanoma : all cells","Monocle",0.32,0.12,0.33,0.86,0.98,3.53,0.05
"Metastatic melanoma : all cells","pcaReduce",0.33,0.13,0.38,0.86,0.98,3.45,0.13
"Metastatic melanoma : all cells","PhenoGraph",0.16,0.11,0.33,0.29,0.7,4.03,-0.06
"Metastatic melanoma : all cells","RaceID",0.3,0.27,0.54,0.51,1,3.06,-0.37
"Metastatic melanoma : all cells","RCA",0.34,0.28,0.53,0.8,1,3.21,-0.17
"Metastatic melanoma : all cells","SC3",0.34,0.17,0.47,0.84,0.99,3.27,0
"Metastatic melanoma : all cells","Scran",0.07,0.06,0.39,0.09,0.6,3.69,-0.06
"Metastatic melanoma : all cells","Seurat",0.43,0.3,0.57,0.85,0.95,2.28,0.17
"Metastatic melanoma : all cells","SINCERA",0.52,0.63,0.78,0.52,0.79,1.07,0.01
"Metastatic melanoma : all cells","TSCAN",0.39,0.42,0.63,0.64,0.82,2.43,0.09
"AML : all cells","bigSCale",0.3,0.2,0.35,0.3,0.41,4.08,0.1
"AML : all cells","Cell Ranger",0.56,0.35,0.53,0.56,0.63,3.29,0.05
"AML : all cells","Monocle",0.65,0.49,0.66,0.73,0.77,2.5,-0.09
"AML : all cells","Scran",0.04,0.02,0.19,0.04,0.25,4.57,0.24
"AML : all cells","Seurat",0.66,0.53,0.67,0.66,0.71,2.21,-0.07
