"dataset","algorithm","AMI","ARI","FMeasure","homogeneity","majority","VI","silhouette"
"AML : malignant","AltAnalyze",0.15,0.03,0.15,0.45,1,6.95,-0.45
"AML : malignant","Ascend",0.06,0.04,0.38,0.06,0.44,3.07,0.17
"AML : malignant","bigSCale",0.37,0.22,0.53,0.37,0.8,2.61,0.03
"AML : malignant","Cell Ranger",0.24,0.14,0.35,0.44,0.62,4.39,0.15
"AML : malignant","CIDR",0.31,0.19,0.45,0.37,0.67,3.25,-0.04
"AML : malignant","Monocle",0.24,0.09,0.27,0.55,0.71,5.07,0.02
"AML : malignant","PhenoGraph",0.21,0.1,0.31,0.36,0.61,4.55,0
"AML : malignant","RCA",0.22,0.12,0.29,0.57,0.67,5.57,-0.32
"AML : malignant","SC3",0.3,0.2,0.44,0.43,0.64,3.51,0.09
"AML : malignant","Scran",0.17,0.06,0.36,0.19,0.48,3.94,0.03
"AML : malignant","Seurat",0.31,0.19,0.42,0.5,0.7,3.65,0.04
"AML : malignant","SINCERA",0.27,0.25,0.47,0.46,0.89,4,-0.26
"AML : malignant","TSCAN",0.18,0.1,0.31,0.28,0.57,4.48,0.04
