"dataset","algorithm","AMI","ARI","FMeasure","homogeneity","majority","VI","silhouette"
"Breast : non-malignant","AltAnalyze",0.13,0.03,0.43,0.13,0.77,2.98,-0.29
"Breast : non-malignant","Ascend",0.15,0.21,0.57,0.15,0.5,2.09,0.16
"Breast : non-malignant","bigSCale",0.4,0.29,0.53,0.77,0.93,2.52,0.21
"Breast : non-malignant","Cell Ranger",0.33,0.2,0.59,0.33,0.8,2.12,0.17
"Breast : non-malignant","CIDR",0.37,0.24,0.54,0.68,0.92,2.72,0.22
"Breast : non-malignant","Monocle",0.43,0.4,0.67,0.54,0.79,2.16,0.19
"Breast : non-malignant","pcaReduce",0.34,0.15,0.39,0.84,1,3.26,0.13
"Breast : non-malignant","PhenoGraph",0.12,0.05,0.39,0.15,0.42,3.55,-0.02
"Breast : non-malignant","RaceID",0.33,0.28,0.52,0.5,1,2.78,-0.24
"Breast : non-malignant","RCA",0.37,0.32,0.59,0.68,0.85,2.67,0.06
"Breast : non-malignant","SC3",0.49,0.41,0.64,0.83,0.96,1.87,0.2
"Breast : non-malignant","Scran",0.21,0.19,0.57,0.21,0.54,2.69,0.01
"Breast : non-malignant","Seurat",0.53,0.5,0.78,0.65,0.94,1.68,0.19
"Breast : non-malignant","SINCERA",0.42,0.39,0.68,0.67,0.91,2.28,0.13
"Breast : non-malignant","TSCAN",0.19,0.12,0.46,0.2,0.5,2.99,0.04
"Glioblastoma : non-malignant","AltAnalyze",0.2,0.03,0.44,0.56,1,3.43,-0.29
"Glioblastoma : non-malignant","Ascend",0.48,0.34,0.72,0.84,0.99,1.36,0.23
"Glioblastoma : non-malignant","bigSCale",0.49,0.36,0.74,0.91,1,1.32,0.25
"Glioblastoma : non-malignant","Cell Ranger",0.41,0.25,0.62,0.9,0.99,1.77,0.28
"Glioblastoma : non-malignant","CIDR",0.37,0.2,0.51,0.71,1,1.89,0.16
"Glioblastoma : non-malignant","Monocle",0.26,0.07,0.3,0.92,1,3.4,0.12
"Glioblastoma : non-malignant","pcaReduce",0.24,0.05,0.28,0.92,1,3.78,0.11
"Glioblastoma : non-malignant","PhenoGraph",0.36,0.21,0.57,0.8,1,2.07,0.02
"Glioblastoma : non-malignant","RaceID",0.24,0.08,0.46,0.58,1,2.83,-0.2
"Glioblastoma : non-malignant","RCA",0.29,0.15,0.46,0.82,1,2.81,-0.18
"Glioblastoma : non-malignant","SC3",0.25,0.07,0.33,0.88,1,3.51,0.03
"Glioblastoma : non-malignant","Scran",0.3,0.13,0.48,0.75,1,2.52,0.02
"Glioblastoma : non-malignant","Seurat",0.36,0.19,0.59,0.95,1,2.16,0.22
"Glioblastoma : non-malignant","SINCERA",0.35,0.21,0.55,0.7,1,1.98,0.15
"Glioblastoma : non-malignant","TSCAN",0.36,0.24,0.59,0.85,0.99,2.11,0.01
"Melanoma : non-malignant","AltAnalyze",0.1,0.01,0.18,0.25,1,7.11,-0.72
"Melanoma : non-malignant","Ascend",0.24,0.13,0.44,0.24,0.76,3.05,-0.01
"Melanoma : non-malignant","bigSCale",0.55,0.48,0.71,0.6,0.7,2.21,0.02
"Melanoma : non-malignant","Cell Ranger",0.32,0.2,0.45,0.44,0.6,3.69,-0.03
"Melanoma : non-malignant","CIDR",0.47,0.43,0.67,0.47,0.71,2.23,0.03
"Melanoma : non-malignant","Monocle",0.3,0.13,0.35,0.59,0.83,4.43,-0.12
"Melanoma : non-malignant","pcaReduce",0.27,0.12,0.32,0.52,0.72,4.59,0.15
"Melanoma : non-malignant","PhenoGraph",0.08,0.03,0.24,0.11,0.41,5.32,-0.14
"Melanoma : non-malignant","RaceID",0.17,0.09,0.35,0.2,0.89,4.38,-0.39
"Melanoma : non-malignant","RCA",0.52,0.54,0.7,0.63,0.83,2.34,-0.12
"Melanoma : non-malignant","SC3",0.32,0.16,0.4,0.6,0.77,4.15,-0.17
"Melanoma : non-malignant","Scran",0.06,0.03,0.34,0.06,0.41,4.21,0.12
"Melanoma : non-malignant","Seurat",0.45,0.35,0.58,0.62,0.85,2.78,-0.04
"Melanoma : non-malignant","SINCERA",0.22,0.06,0.37,0.22,0.76,3.87,-0.19
"Melanoma : non-malignant","TSCAN",0.15,0.05,0.27,0.19,0.47,4.67,0.02
"Lung : non-malignant","bigSCale",0.43,0.27,0.43,0.43,0.51,2.91,0.11
"Lung : non-malignant","Cell Ranger",0.5,0.26,0.48,0.65,0.68,3.37,0.09
"Lung : non-malignant","Monocle",0.45,0.12,0.34,0.82,0.91,4.01,-0.1
"Lung : non-malignant","pcaReduce",0.42,0.19,0.37,0.57,0.67,4.08,0.09
