"dataset","algorithm","AMI","ARI","FMeasure","homogeneity","majority","VI","silhouette"
"Breast : malignant","AltAnalyze",0.01,0,0.29,0.01,0.3,3.42,0.07
"Breast : malignant","Ascend",0.58,0.5,0.7,0.58,0.69,2.07,0.31
"Breast : malignant","bigSCale",0.71,0.71,0.83,0.82,0.96,1.31,0.38
"Breast : malignant","Cell Ranger",0.47,0.44,0.63,0.47,0.56,2.35,0.29
"Breast : malignant","CIDR",0.73,0.7,0.82,0.76,0.89,1.36,0.4
"Breast : malignant","Monocle",0.63,0.54,0.72,0.71,0.87,1.81,0.29
"Breast : malignant","pcaReduce",0.5,0.29,0.51,0.87,1,2.62,0.16
"Breast : malignant","PhenoGraph",0.3,0.31,0.54,0.3,0.4,3,0.19
"Breast : malignant","RaceID",0.43,0.36,0.59,0.69,1,3.18,-0.2
"Breast : malignant","RCA",0.35,0.2,0.45,0.42,0.58,3.55,-0.1
"Breast : malignant","SC3",0.73,0.72,0.83,0.82,0.95,1.25,0.36
"Breast : malignant","Scran",0.38,0.27,0.53,0.43,0.62,3.28,0.06
"Breast : malignant","Seurat",0.73,0.69,0.82,0.76,0.89,1.35,0.4
"Breast : malignant","SINCERA",0.72,0.71,0.84,0.84,0.95,1.28,0.34
"Breast : malignant","TSCAN",0.58,0.51,0.72,0.67,0.77,2.09,0.21
"Glioblastoma : malignant","AltAnalyze",0.11,0.05,0.36,0.15,0.8,4.43,-0.27
"Glioblastoma : malignant","Ascend",0.05,0,0.37,0.05,0.4,3.24,0.18
"Glioblastoma : malignant","bigSCale",0.21,0.13,0.4,0.31,0.55,4.04,0.15
"Glioblastoma : malignant","Cell Ranger",0.15,0.09,0.36,0.18,0.44,4.1,0.29
"Glioblastoma : malignant","CIDR",0.12,0.07,0.37,0.12,0.43,3.9,0.15
"Glioblastoma : malignant","Monocle",0.19,0.1,0.33,0.34,0.59,4.6,0.16
"Glioblastoma : malignant","pcaReduce",0.17,0.07,0.28,0.37,0.6,5.31,0.13
"Glioblastoma : malignant","PhenoGraph",0.08,0.04,0.33,0.09,0.4,4.36,0.07
"Glioblastoma : malignant","RaceID",0.12,0.07,0.35,0.19,1,4.73,-0.07
"Glioblastoma : malignant","RCA",0.09,0.02,0.36,0.1,0.5,4.2,-0.19
"Glioblastoma : malignant","SC3",0.2,0.12,0.41,0.34,0.56,4.46,0.06
"Glioblastoma : malignant","Scran",0.1,0.06,0.34,0.15,0.42,4.69,0.08
"Glioblastoma : malignant","Seurat",0.13,0.07,0.32,0.18,0.44,4.47,0.24
"Glioblastoma : malignant","SINCERA",0.16,0.09,0.38,0.22,0.53,4.22,0.17
"Glioblastoma : malignant","TSCAN",0.12,0.06,0.32,0.17,0.42,4.67,0.06
"Melanoma : malignant","AltAnalyze",0.19,0.14,0.31,0.19,1,4.22,-0.43
"Melanoma : malignant","Ascend",0.18,0.04,0.34,0.18,0.36,3.44,0.11
"Melanoma : malignant","bigSCale",0.61,0.48,0.67,0.61,0.9,2.28,0.27
"Melanoma : malignant","Cell Ranger",0.46,0.3,0.5,0.46,0.72,3.36,0.26
"Melanoma : malignant","CIDR",0.41,0.26,0.51,0.41,0.56,3.08,0.25
"Melanoma : malignant","Monocle",0.59,0.36,0.59,0.75,0.85,2.65,0.2
"Melanoma : malignant","pcaReduce",0.44,0.21,0.46,0.62,0.74,4,0.08
"Melanoma : malignant","PhenoGraph",0.29,0.16,0.35,0.31,0.48,4.93,-0.01
"Melanoma : malignant","RaceID",0.18,0.08,0.28,0.18,0.48,5.05,-0.22
